City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,veinticinco de mayo,-35.4323,-60.1727,11.66,68,1,3.58,AR,1727315502
114,puerto ayora,-0.7393,-90.3518,19.19,97,94,3.63,EC,1727315642
115,ilomantsi,62.6716,30.9328,13.6,76,100,5.28,FI,1727315643
116,saipan,15.1355,145.701,31.39,74,40,3.6,MP,1727315644
117,cidade velha,14.9167,-23.6167,26.26,83,75,1.03,CV,1727315645
118,luwuk,-0.9516,122.7875,28.67,63,100,2.53,ID,1727315646
119,avarua,-21.2078,-159.775,24.03,73,75,2.06,CK,1727315647
120,kisangani,0.5167,25.2,20.55,91,100,0.98,CD,1727315648
121,gadzhiyevo,69.2551,33.3362,12.2,86,100,9.58,RU,1727315649
122,acapulco de juarez,16.8634,-99.8901,22.1,95,100,6.85,MX,1727315587
123,awjilah,29.1081,21.2869,24.35,73,0,7.16,LY,1727315652
124,pacific grove,36.6177,-121.9166,17.06,88,75,5.14,US,1727315653
125,punta arenas,-53.15,-70.9167,4.06,87,75,12.86,CL,1727315511
126,gurupi,-11.7292,-49.0686,29.69,26,44,1.44,BR,1727315655
127,inarajan village,13.2736,144.7484,30.78,83,72,5.34,GU,1727315656
128,whitehorse,60.7161,-135.0538,8.34,93,75,2.57,CA,1727315657
129,surgana,20.5667,73.6167,21.64,99,100,0.63,IN,1727315658
130,mejit,10.2753,170.8646,28.51,74,11,4.13,MH,1727315659
131,mana,5.6592,-53.7767,26.89,83,48,4.66,GF,1727315660
132,hyesan,41.4017,128.1778,18.53,66,63,0.88,KP,1727315661
133,sedalia,38.7045,-93.2283,20.95,56,0,0.0,US,1727315662
134,balqash,46.8481,74.995,10.61,38,100,7.2,KZ,1727315663
135,bredasdorp,-34.5322,20.0403,9.8,90,9,3.36,ZA,1727315664
136,popondetta,-8.7537,148.2534,32.69,56,43,3.04,PG,1727315665
137,boa vista,2.8197,-60.6733,29.99,74,20,1.54,BR,1727315666
138,udachny,66.4167,112.4,3.97,72,25,4.62,RU,1727315667
139,naze,28.3667,129.4833,28.51,80,26,9.04,JP,1727315668
140,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.06,GF,1727315670
141,gazojak,41.1875,61.4036,15.76,25,61,7.98,TM,1727315671
142,suwayr,30.1171,40.3893,25.63,31,0,3.72,SA,1727315672
143,hadibu,12.65,54.0333,25.42,86,88,7.43,YE,1727315673
144,sola,-13.8833,167.55,25.77,78,0,9.46,VU,1727315674
145,kosh-agach,50.0,88.6667,-0.29,47,100,0.45,RU,1727315675
146,golere,16.2557,-14.1017,27.44,72,100,5.99,SN,1727315677
147,sur,22.5667,59.5289,28.98,58,97,2.47,OM,1727315678
148,tidjikja,18.5564,-11.4271,30.46,49,100,2.25,MR,1727315679
149,prado,-17.3411,-39.2208,23.97,73,0,5.19,BR,1727315680
150,hermanus,-34.4187,19.2345,8.22,86,0,3.15,ZA,1727315681
151,valday,57.9747,33.2525,13.32,81,25,3.48,RU,1727315682
152,port moresby,-9.4431,147.1797,30.68,66,75,5.14,PG,1727315104
